"11. If so, explain what factor(s) and how it affects your sleep ?","13. If so, what do you do to go back to sleep ?","15. What do you think about these activities' effect, is it positive or negative on your sleep ?","17. If you have difficulty falling asleep, what do you do to fall asleep ? (do you force yourself to sleep, listen to music/podcast or do other activities). Please explain","19. If you have any sleep disorders, what do you do to overcome it and to cope with it ?","20. If you use electronic devices (e.g., phone, TV, laptop, etc...)"
['sound'],['lay down'],negative,{'force myself to sleep'},no respond,5.5
['no respond'],['close eyes'],negative,{'listen to Quran'},['do nothing'],5.0
['no respond'],no respond,no respond,['no respond'],no respond,5.0
['light'],no respond,negative,['no respond'],no respond,5.0
"['lack of sleep', 'light']",no respond,no respond,{'force myself to sleep'},no respond,9.0
['no respond'],no respond,no respond,['no respond'],no respond,5.0
"['lack of sleep', 'sound', 'temperature']",['listen to Quran'],no respond,['no respond'],no respond,6.0
"['lack of sleep', 'sound']",no respond,negative,{'stay in bed'},no respond,4.5
['light'],no respond,positive,"{'listen to Quran', 'listen to podcast'}",no respond,5.0
['light'],no respond,no respond,['no respond'],no respond,5.0
"['overthinking', 'stress']",no respond,negative,['no respond'],no respond,8.0
['no respond'],no respond,negative,['no respond'],no respond,5.0
['no respond'],no respond,no respond,"{'do other activities', 'listen to music', 'listen to podcast'}",no respond,5.0
['no respond'],no respond,no respond,['no respond'],no respond,5.0
['sound and light'],no respond,no respond,['no respond'],no respond,5.0
['no respond'],no respond,negative,['no respond'],no respond,5.0
['no respond'],no respond,negative,['no respond'],['do nothing'],5.0
['no respond'],no respond,no respond,['no respond'],no respond,5.0
['no respond'],no respond,no respond,"{'watch YouTube', 'drink water', 'watch videos'}",no respond,18.5
['no respond'],no respond,no respond,['no respond'],no respond,8.0
['light'],no respond,negative,['no respond'],no respond,5.0
['no respond'],no respond,negative,['no respond'],no respond,5.0
['light'],no respond,negative,['no respond'],no respond,5.0
['no respond'],no respond,no respond,"{'listen to Quran', 'listen to podcast'}",no respond,5.0
['no respond'],no respond,negative,['no respond'],no respond,7.0
['no respond'],no respond,no respond,['no respond'],no respond,5.0
['no respond'],no respond,no respond,{'listen to music'},no respond,3.0
['sound'],no respond,negative,{'listen to Quran'},['do nothing'],5.0
['no respond'],no respond,negative,['no respond'],no respond,5.0
"['light', 'sound']",['try to sleep'],no response,{'force myself to sleep'},no respond,5.0
['no respond'],no respond,no respond,['no respond'],no respond,5.0
['no respond'],no respond,no respond,"{'clear my mind', 'take a shower'}",['try to sleep'],1.0
['no respond'],no respond,no respond,"{'distract mind', 'clear my mind'}",no respond,3.0
['no respond'],no respond,no respond,['no respond'],no respond,5.0
"['sleep environment', 'temperature', 'weather']",['go to bed'],no respond,['no respond'],no respond,6.0
"['light', 'sound']",['try to sleep'],no respond,"{'use phone', 'force myself to sleep'}",['do nothing'],5.0
['no respond'],no respond,negative,['no respond'],['do nothing'],5.0
['no respond'],no respond,negative,['no respond'],['do nothing'],3.0
"['light', 'sound', 'sound and light']","['do nothing', 'get back to sleep', 'need time']",no respond,"{'force myself to sleep', 'listen to music'}",no respond,5.0
['no respond'],no respond,no respond,{'listen to podcast'},['drink water'],5.0
['no respond'],no respond,no respond,['no respond'],no respond,5.0
['no respond'],no respond,no respond,['no respond'],no respond,9.0
['no respond'],no respond,negative,{'use phone'},no respond,5.0
['no respond'],no respond,no respond,['no respond'],no respond,5.0
"['lack of sleep', 'overthinking']",['go to bed'],no respond,['no respond'],no respond,5.0
['no respond'],no respond,no respond,['no respond'],no respond,6.0
['sound'],"['drink water', 'eat']",no respond,{'watch videos'},"['drink water', 'try to sleep']",5.0
['no respond'],no respond,positive,['no respond'],no respond,5.0
['no respond'],no respond,negative,['no respond'],no respond,7.0
"['sound', 'temperature']",['use phone'],no respond,{'use phone'},no respond,8.0
