"11. If so, explain what factor(s) and how it affects your sleep ?","13. If so, what do you do to go back to sleep ?","15. What do you think about these activities' effect, is it positive or negative on your sleep ?","17. If you have difficulty falling asleep, what do you do to fall asleep ? (do you force yourself to sleep, listen to music/podcast or do other activities). Please explain","19. If you have any sleep disorders, what do you do to overcome it and to cope with it ?","20. If you use electronic devices (e.g., phone, TV, laptop, etc...)"
['sound'],['force myself to sleep'],negative,{'force myself to sleep'},no response,5.5
['no respond'],['force myself to sleep'],negative,{'listen to Quran'},['do nothing'],0.5
['no respond'],no respond,no response,['no respond'],no response,0.5
['light'],no respond,negative,['no respond'],no response,5.0
"['lack of sleep', 'light']",no respond,no response,{'force myself to sleep'},no response,9.0
['no respond'],no respond,no response,['no respond'],no response,0.5
"['lack of sleep', 'temperature']",['listen to Quran'],no response,['no respond'],no response,6.0
"['lack of sleep', 'sound']",no respond,negative,{'force myself to sleep'},no response,4.5
['light'],no respond,positive,"{'listen to Quran', 'listen to podcast'}",no response,5.0
['light'],no respond,no response,['no respond'],no response,0.5
"['overthinking', 'stress']",no respond,negative,['no respond'],no response,8.0
['no respond'],no respond,negative,['no respond'],no response,0.5
['no respond'],no respond,no response,"{'do other activities', 'listen to music', 'listen to podcast'}",no response,0.5
['no respond'],no respond,no response,['no respond'],no response,0.5
['no respond'],no respond,no response,['no respond'],no response,0.5
['no respond'],no respond,negative,['no respond'],no response,0.5
['lack of sleep'],no respond,negative,['no respond'],['do nothing'],0.5
['no respond'],no respond,no response,['no respond'],no response,0.5
['no respond'],no respond,no response,"{'drink water', 'watch videos'}",no response,18.5
['no respond'],no respond,no response,['no respond'],no response,8.0
['light'],no respond,negative,['no respond'],no response,0.5
['no respond'],no respond,negative,['no respond'],no response,0.5
['light'],no respond,negative,['no respond'],no response,0.5
['no respond'],no respond,no response,"{'listen to Quran', 'listen to podcast'}",no response,0.5
['no respond'],no respond,negative,['no respond'],no response,7.0
['no respond'],no respond,no response,['no respond'],no response,0.5
['no respond'],no respond,no response,{'listen to music'},no response,3.0
['sound'],no respond,negative,{'listen to Quran'},['do nothing'],5.0
['no respond'],no respond,negative,['no respond'],no response,0.5
['light'],['try to sleep'],no response,{'force myself to sleep'},no response,0.5
['no respond'],no respond,no response,['no respond'],no response,0.5
['no respond'],no respond,no response,"{'clear my mind', 'take a shower'}",['try to sleep'],0.5
['no respond'],no respond,no response,"{'distract mind', 'clear my mind'}",no response,3.0
['no respond'],no respond,no response,['no respond'],no response,0.5
"['sleep environment', 'temperature', 'weather']",['force myself to sleep'],no response,['no respond'],no response,6.0
"['light', 'sound']",['try to sleep'],no response,"{'use phone', 'force myself to sleep'}",['do nothing'],5.0
['no respond'],no respond,negative,['no respond'],['do nothing'],0.5
['no respond'],no respond,negative,['no respond'],['do nothing'],3.0
